district,location,rooms,area,floor,total_floors,area_per_room,actual_price,predicted_price,absolute_error,percentage_error
Binəqədi,Biləcəri,4.0,117.0,3.0,5.0,29.25,223000.0,234407.25,11407.25,5.12
Abşeron,Masazır,3.0,106.0,5.0,8.0,35.333333333333336,152000.0,140787.81,11212.190000000002,7.38
Abşeron,Saray,2.0,74.0,3.0,12.0,37.0,102500.0,91302.26,11197.740000000005,10.92
Sabunçu,Zabrat,4.0,109.0,7.0,10.0,27.25,160000.0,148809.67,11190.329999999987,6.99
Nərimanov,Böyükşor,4.0,220.0,16.0,17.0,55.0,713000.0,724172.19,11172.189999999944,1.57
Səbail,Bibiheybət,2.0,66.0,2.0,17.0,33.0,157500.0,146340.47,11159.529999999999,7.09
Suraxanı,Günəşli,2.0,59.0,1.0,10.0,29.5,118500.0,129650.03,11150.029999999999,9.41
Binəqədi,6-cı Mikrorayon,2.0,79.0,14.0,19.0,39.5,197000.0,207996.71,10996.709999999992,5.58
Xətai,Əhmədli,3.0,126.0,12.0,14.0,42.0,322000.0,311020.71,10979.289999999979,3.41
Suraxanı,Qaraçuxur,3.0,94.0,2.0,11.0,31.333333333333332,178500.0,189381.19,10881.190000000002,6.1
Xətai,Ağ Şəhər,2.0,67.0,1.0,11.0,33.5,239000.0,249705.6,10705.600000000006,4.48
Xəzər,Binə,2.0,73.0,2.0,2.0,36.5,92500.0,81798.56,10701.440000000002,11.57
Nəsimi,4-cü Mikrorayon,3.0,84.0,2.0,9.0,28.0,212500.0,223113.93,10613.929999999993,4.99
Nəsimi,Kubinka,3.0,109.0,11.0,17.0,36.333333333333336,402500.0,413057.62,10557.619999999995,2.62
Sabunçu,Zabrat,3.0,71.0,2.0,5.0,23.666666666666668,77500.0,88009.6,10509.600000000006,13.56
Nəsimi,3-cü Mikrorayon,1.0,34.0,8.0,17.0,34.0,111500.0,121967.5,10467.5,9.39
Suraxanı,Zığ,5.0,119.0,5.0,9.0,23.8,203000.0,192613.76,10386.23999999999,5.12
Abşeron,Masazır,3.0,109.0,9.0,9.0,36.333333333333336,135000.0,145355.23,10355.23000000001,7.67
Yasamal,Yasamal,3.0,108.0,13.0,19.0,36.0,346000.0,356351.14,10351.140000000014,2.99
Suraxanı,Zığ,2.0,57.0,2.0,9.0,28.5,79500.0,89848.27,10348.270000000004,13.02
Yasamal,Yasamal,3.0,147.0,7.0,16.0,49.0,490000.0,500281.58,10281.580000000016,2.1
Nizami,8-ci Kilometr,2.0,78.0,3.0,5.0,39.0,210000.0,199802.48,10197.51999999999,4.86
Qaradağ,Sahil,4.0,118.0,6.0,8.0,29.5,172500.0,182686.62,10186.619999999995,5.91
Nəsimi,1-ci Mikrorayon,3.0,132.0,2.0,5.0,44.0,360000.0,369976.55,9976.549999999988,2.77
Qaradağ,Lökbatan,3.0,70.0,3.0,9.0,23.333333333333332,120000.0,110060.45,9939.550000000003,8.28
Xəzər,Binə,3.0,90.0,1.0,4.0,30.0,100000.0,109933.75,9933.75,9.93
Xəzər,Mərdəkan,2.0,68.0,4.0,5.0,34.0,119500.0,109793.63,9706.369999999995,8.12
Nizami,8-ci Kilometr,1.0,28.0,1.0,16.0,28.0,88000.0,97634.44,9634.440000000002,10.95
Nərimanov,Böyükşor,2.0,82.0,11.0,15.0,41.0,280500.0,270869.28,9630.719999999972,3.43
Abşeron,Saray,3.0,95.0,5.0,9.0,31.666666666666668,123500.0,113913.72,9586.279999999999,7.76
Abşeron,Masazır,2.0,51.0,5.0,16.0,25.5,68000.0,77580.06,9580.059999999998,14.09
Suraxanı,Günəşli,3.0,76.0,8.0,9.0,25.333333333333332,182500.0,173015.49,9484.51000000001,5.2
Yasamal,Yasamal,1.0,37.0,15.0,18.0,37.0,130000.0,139427.28,9427.279999999999,7.25
Nəsimi,4-cü Mikrorayon,2.0,60.0,2.0,5.0,30.0,165500.0,156120.92,9379.079999999987,5.67
Suraxanı,Günəşli,1.0,41.0,8.0,14.0,41.0,91500.0,100876.28,9376.279999999999,10.25
Sabunçu,Ramana,4.0,90.0,8.0,9.0,22.5,108000.0,117336.47,9336.470000000001,8.64
Yasamal,Yasamal,2.0,64.0,6.0,16.0,32.0,189500.0,198769.66,9269.660000000003,4.89
Nəsimi,4-cü Mikrorayon,1.0,45.0,5.0,5.0,45.0,120000.0,129259.42,9259.419999999998,7.72
Abşeron,Mehdiabad,4.0,128.0,2.0,9.0,32.0,169500.0,160255.71,9244.290000000008,5.45
Sabunçu,Bakıxanov,3.0,83.0,1.0,5.0,27.666666666666668,194000.0,203200.7,9200.700000000012,4.74
Nəsimi,1-ci Mikrorayon,2.0,67.0,8.0,9.0,33.5,204000.0,194853.94,9146.059999999998,4.48
Abşeron,Mehdiabad,3.0,104.0,6.0,6.0,34.666666666666664,132500.0,123399.51,9100.490000000005,6.87
Nərimanov,Böyükşor,2.0,103.0,6.0,18.0,51.5,366000.0,356956.24,9043.76000000001,2.47
Xəzər,Binə,1.0,50.0,1.0,2.0,50.0,68500.0,59473.42,9026.580000000002,13.18
Binəqədi,Binəqədi,2.0,57.0,15.0,16.0,28.5,133000.0,141756.7,8756.700000000012,6.58
Suraxanı,Günəşli,3.0,98.0,11.0,15.0,32.666666666666664,229500.0,220820.65,8679.350000000006,3.78
Qaradağ,Lökbatan,3.0,97.0,10.0,12.0,32.333333333333336,158000.0,149322.19,8677.809999999998,5.49
Səbail,20-ci Sahə,2.0,60.0,1.0,2.0,30.0,121500.0,112838.49,8661.509999999995,7.13
Səbail,Bibiheybət,3.0,98.0,4.0,12.0,32.666666666666664,228500.0,220116.53,8383.470000000001,3.67
Qaradağ,Sahil,2.0,61.0,6.0,13.0,30.5,99500.0,91129.18,8370.820000000007,8.41
Qaradağ,Lökbatan,3.0,89.0,15.0,17.0,29.666666666666668,132000.0,140313.09,8313.089999999997,6.3
Abşeron,Ceyranbatan,3.0,110.0,7.0,9.0,36.666666666666664,150500.0,142328.77,8171.2300000000105,5.43
Suraxanı,Günəşli,2.0,68.0,3.0,10.0,34.0,145500.0,153649.81,8149.809999999998,5.6
Nizami,8-ci Kilometr,1.0,20.0,3.0,5.0,20.0,71000.0,79149.04,8149.039999999994,11.48
Yasamal,Yasamal,1.0,33.0,6.0,18.0,33.0,143000.0,134853.35,8146.649999999994,5.7
Xəzər,Binə,4.0,113.0,3.0,3.0,28.25,131000.0,139086.54,8086.540000000008,6.17
Abşeron,Ceyranbatan,2.0,76.0,6.0,12.0,38.0,105500.0,97419.94,8080.059999999998,7.66
